Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
60,0.59855,0.59855,0.59855,0.479816514,0.176697452,0.770732824,-0.017504158,-0.004265719,0.022064065
61,-0.59855,-0.59855,-0.59855,0.478840367,0.178161774,0.777078287,-0.017504158,-0.004265719,0.022064065
62,-0.598551,0,1.197101,0.477864118,0.176697452,0.777078287,-0.017945439,-0.003677344,0.021622783
63,-0.59855,-0.598551,-0.598551,0.488114475,0.180114271,0.779030785,-0.017945439,-0.003677344,0.021622783
64,0.59855,-0.59855,1.197101,0.480792762,0.176697452,0.77854261,-0.017945439,-0.003677344,0.021622783
65,0,-0.598551,-0.59855,0.480304689,0.169375739,0.773661468,-0.017798346,-0.004265719,0.021622783
66,1.197101,0,-0.598551,0.482257085,0.1776737,0.77854261,-0.017798346,-0.004265719,0.021622783
67,-0.59855,-0.59855,0.598551,0.481280938,0.187924057,0.767316004,-0.017798346,-0.004265719,0.021622783
68,0,0.59855,0,0.491043221,0.181578593,0.781959429,-0.017798346,-0.004265719,0.021622783
69,0.59855,1.197101,0,0.476399796,0.175233129,0.776590214,-0.017651252,-0.003677344,0.021328596
70,-1.197101,-0.59855,0.59855,0.475911621,0.178161774,0.777078287,-0.017651252,-0.003677344,0.021328596
71,-0.59855,0,0.598551,0.478840367,0.179138022,0.768780326,-0.017651252,-0.003677344,0.021328596
72,0,-0.598551,0,0.485185831,0.184019164,0.780495107,-0.017651252,-0.003677344,0.021328596
73,0.59855,0,0,0.484697655,0.18109052,0.774637717,-0.01720997,-0.004118625,0.021769877
74,0,-0.59855,0,0.484209582,0.179626096,0.791721713,-0.01720997,-0.004118625,0.021769877
75,1.197101,0,-0.598551,0.485185831,0.177185525,0.767316004,-0.01720997,-0.004118625,0.021769877
76,-0.59855,0,-0.59855,0.491531295,0.171328236,0.782935678,-0.01720997,-0.004118625,0.021769877
77,-0.598551,1.197101,0.59855,0.486650153,0.182554842,0.774149643,-0.017945439,-0.003971532,0.021622783
78,-0.59855,-0.598551,1.197101,0.488114475,0.183042915,0.78098318,-0.017945439,-0.003971532,0.021622783
79,0.59855,-0.59855,0.598551,0.480792762,0.178161774,0.769268502,-0.017945439,-0.003971532,0.021622783
80,0,-0.59855,0.59855,0.481769011,0.182554842,0.762434862,-0.017798346,-0.003677344,0.021181502
81,-0.59855,0,-1.197101,0.489090724,0.170840061,0.777078287,-0.017798346,-0.003677344,0.021181502
82,0.59855,0,-0.59855,0.478840367,0.186947808,0.764875433,-0.017798346,-0.003677344,0.021181502
83,0,0,0.59855,0.490555046,0.182066667,0.77512579,-0.017798346,-0.003677344,0.021181502
84,0,-0.598551,0,0.485673904,0.170351988,0.771220897,-0.017798346,-0.004265719,0.022358252
85,0,1.197101,-0.59855,0.485673904,0.171328236,0.772197146,-0.017798346,-0.004265719,0.022358252
86,-0.59855,0,-0.598551,0.490066972,0.175233129,0.774149643,-0.017798346,-0.004265719,0.022358252
87,0.59855,0,1.197101,0.48860265,0.174744954,0.766339755,-0.017798346,-0.004265719,0.022358252
88,-0.59855,-0.59855,0,0.48616208,0.173768807,0.766827931,-0.018092533,-0.003971532,0.021916971
89,1.197101,-0.598551,0,0.483721509,0.18109052,0.767316004,-0.018092533,-0.003971532,0.021916971
90,-0.598551,0,0,0.486650153,0.172304383,0.788793068,-0.018092533,-0.003971532,0.021916971
91,0,0,0,0.487138328,0.182066667,0.777078287,-0.018092533,-0.003971532,0.021916971
92,0.598551,0,-0.59855,0.479816514,0.180114271,0.783423751,-0.017798346,-0.00353025,0.02147569
93,0,0,0.59855,0.478840367,0.176697452,0.78098318,-0.017798346,-0.00353025,0.02147569
94,-0.598551,0,0,0.479816514,0.186947808,0.778054536,-0.017798346,-0.00353025,0.02147569
95,-0.59855,-1.197101,0,0.488114475,0.179138022,0.774637717,-0.018533814,-0.004412813,0.022064065
96,0,0,0,0.490066972,0.175721203,0.754136901,-0.018533814,-0.004412813,0.022064065
97,1.197101,-0.59855,0.598551,0.479816514,0.177185525,0.779518858,-0.018533814,-0.004412813,0.022064065
98,-0.598551,-0.59855,1.1971,0.49201947,0.180114271,0.769268502,-0.018533814,-0.004412813,0.022064065
99,0.598551,-0.598551,-0.59855,0.478840367,0.184995413,0.766827931,-0.017798346,-0.004118625,0.021916971
100,0.59855,0,-1.197101,0.48860265,0.182066667,0.765851682,-0.017798346,-0.004118625,0.021916971
101,-1.197101,0,0.598551,0.491531295,0.173280632,0.7995316,-0.017798346,-0.004118625,0.021916971
102,1.197101,0,0,0.479816514,0.179626096,0.78098318,-0.017798346,-0.004118625,0.021916971
103,0,0.598551,0,0.499829256,0.16839949,0.780495107,-0.017504158,-0.004265719,0.022064065
104,0.59855,0,0,0.490555046,0.175721203,0.779518858,-0.017504158,-0.004265719,0.022064065
