-55.86,-31.36,931,0,0,0,0,0,0
-56.84,-31.36,928.06,-32.513,-11.102,-9.882,-41.89453,-10.47363,-27.61841
-55.86,-32.34,931.98,-19.032,-6.1,-4.514,-41.89453,-10.47363,-27.61841
-57.82,-31.36,931.98,-1.281,0.427,0,-41.89453,-10.47363,-27.61841
-57.82,-33.32,929.04,-1.159,0.549,0,-41.89453,-10.47363,-27.61841
-57.82,-35.28,930.02,-0.976,0.671,0.122,-40.94238,-10.47363,-27.771
-56.84,-30.38,931.98,-0.427,0,-0.061,-40.94238,-10.47363,-27.771
-57.82,-34.3,931.98,0.244,-0.305,0,-40.94238,-10.47363,-27.771
-56.84,-32.34,930.02,0.244,-0.305,0,-41.89453,-10.47363,-27.31323
-57.82,-34.3,931,0.366,-0.427,-0.061,-41.89453,-10.47363,-27.31323
-57.82,-33.32,931.98,0.671,-0.549,-0.061,-41.89453,-10.47363,-27.31323
-55.86,-33.32,932.96,0.854,-0.793,0,-41.89453,-10.47363,-27.31323
-54.88,-29.4,931.98,0.976,-0.854,-0.061,-41.89453,-11.1084,-27.31323
-55.86,-32.34,931,1.037,-0.793,-0.122,-41.89453,-11.1084,-27.31323
-53.9,-30.38,933.94,1.037,-0.854,-0.061,-41.89453,-11.1084,-27.31323
-55.86,-30.38,931,1.159,-1.098,0.183,-41.89453,-11.1084,-27.31323
-57.82,-29.4,931,1.159,-1.098,0.183,-41.57715,-11.1084,-27.771
-54.88,-31.36,936.88,1.098,-0.793,-0.183,-41.57715,-11.1084,-27.771
-54.88,-28.42,931.98,0.915,-0.732,-0.122,-41.57715,-11.1084,-27.771
-53.9,-28.42,931.98,0.671,-0.793,0,-41.57715,-11.1084,-27.771
-53.9,-28.42,931.98,0.427,-0.427,-0.061,-42.21191,-10.47363,-27.31323
-56.84,-30.38,931.98,-0.244,0,-0.122,-42.21191,-10.47363,-27.31323
-54.88,-28.42,931,-0.61,0.366,0,-42.21191,-10.47363,-27.31323
-54.88,-31.36,931,-0.61,0.366,0,-42.21191,-10.79102,-27.16064
-55.86,-29.4,933.94,-0.305,0.061,0,-42.21191,-10.79102,-27.16064
-54.88,-30.38,931.98,0,-0.305,-0.061,-42.21191,-10.79102,-27.16064
-55.86,-28.42,931,0.061,-0.244,-0.061,-42.21191,-10.79102,-27.16064
-54.88,-31.36,928.06,0.244,-0.183,-0.122,-41.89453,-11.1084,-27.31323
-55.86,-29.4,934.92,0.183,-0.366,0,-41.89453,-11.1084,-27.31323
-55.86,-28.42,934.92,0.183,-0.305,0,-41.89453,-11.1084,-27.31323
-53.9,-30.38,932.96,-0.122,-0.061,-0.061,-41.89453,-11.1084,-27.31323
-56.84,-29.4,931,-0.122,-0.061,0,-41.25977,-9.204102,-27.46582
-53.9,-27.44,936.88,-0.122,-0.305,0.061,-41.25977,-9.204102,-27.46582
-53.9,-26.46,935.9,-0.122,-0.305,0.061,-41.25977,-9.204102,-27.46582
-54.88,-26.46,935.9,-0.61,0.061,-0.061,-41.89453,-9.521484,-27.00806
-55.86,-30.38,931.98,-1.281,0.549,-0.061,-41.89453,-9.521484,-27.00806
-58.8,-28.42,927.08,-1.952,0.976,0.122,-41.89453,-9.521484,-27.00806
-55.86,-35.28,930.02,-1.647,0.915,-0.244,-41.89453,-9.521484,-27.00806
-55.86,-32.34,929.04,-0.671,0.061,-0.061,-41.25977,-10.47363,-27.61841
-56.84,-32.34,929.04,-0.061,-0.549,-0.122,-41.25977,-10.47363,-27.61841
-58.8,-32.34,930.02,0.183,-0.488,-0.061,-41.25977,-10.47363,-27.61841
-54.88,-31.36,928.06,0.183,-0.488,-0.061,-41.25977,-10.47363,-27.61841
-55.86,-31.36,929.04,0.366,-0.488,-0.061,-42.21191,-10.47363,-27.46582
-55.86,-32.34,932.96,0.854,-0.854,0,-42.21191,-10.47363,-27.46582
-55.86,-30.38,931,1.281,-0.976,-0.122,-42.21191,-10.47363,-27.46582
-55.86,-29.4,930.02,1.525,-1.281,-0.061,-42.21191,-10.47363,-27.46582
-54.88,-27.44,931.98,1.647,-1.281,0,-41.57715,-10.15625,-27.16064
-54.88,-26.46,932.96,1.403,-1.22,-0.183,-41.57715,-10.15625,-27.16064
-53.9,-28.42,932.96,0.976,-1.037,0,-41.57715,-10.15625,-27.16064
-54.88,-26.46,932.96,0.976,-1.037,0,-41.57715,-9.838867,-27.31323
-54.88,-31.36,933.94,0.915,-0.671,-0.061,-41.57715,-9.838867,-27.31323
-53.9,-28.42,931.98,0.915,-0.671,-0.122,-41.57715,-9.838867,-27.31323
-54.88,-27.44,931,1.22,-0.915,-0.244,-41.57715,-9.838867,-27.31323
-52.92,-26.46,931,1.464,-1.037,-0.122,-41.89453,-10.79102,-27.46582
-54.88,-26.46,932.96,1.159,-0.976,0.061,-41.89453,-10.79102,-27.46582
-52.92,-25.48,936.88,0.732,-0.793,-0.122,-41.89453,-10.79102,-27.46582
-51.94,-28.42,933.94,0.427,-0.427,-0.122,-41.89453,-10.79102,-27.46582
-54.88,-28.42,934.92,0.427,-0.427,-0.122,-41.89453,-10.15625,-27.31323
-52.92,-25.48,933.94,0.122,-0.122,-0.122,-41.89453,-10.15625,-27.31323
-53.9,-25.48,933.94,0,-0.061,-0.122,-41.89453,-10.15625,-27.31323
-52.92,-24.5,933.94,-0.061,-0.183,-0.061,-41.89453,-10.15625,-27.31323
